account_id,customer_id,account_type,currency,opened_date,status
1,1,current,EUR,2023-04-13,active
2,2,current,EUR,2024-01-27,active
3,3,current,EUR,2024-07-08,active
4,4,savings,CAD,2024-11-15,active
5,5,current,EUR,2024-06-24,active
6,6,current,EUR,2024-04-24,active
7,7,current,EUR,2024-10-07,active
8,8,current,GBP,2024-10-18,active
9,9,current,EUR,2024-09-13,active
10,10,current,GBP,2023-01-16,active
11,11,savings,GBP,2024-10-22,active
12,12,savings,CAD,2024-06-06,active
13,13,current,EUR,2024-05-04,active
14,14,current,GBP,2024-10-19,active
15,15,current,AUD,2024-04-21,active
16,16,savings,CAD,2023-06-18,active
17,17,savings,GBP,2024-07-25,active
18,18,current,CAD,2024-05-04,active
19,19,savings,AUD,2024-05-04,active
20,20,current,CAD,2024-06-16,active
21,21,current,EUR,2024-11-14,active
22,22,current,GBP,2024-04-17,active
23,23,current,EUR,2023-07-10,active
24,24,current,EUR,2024-09-18,active
25,25,savings,GBP,2024-12-05,active
26,26,savings,AUD,2023-05-03,active
27,27,current,CAD,2024-12-26,active
28,28,savings,CAD,2024-12-31,active
29,29,current,EUR,2024-04-10,active
30,30,savings,AUD,2024-06-04,active
31,31,savings,EUR,2023-12-21,closed
32,32,savings,EUR,2024-11-05,active
33,33,current,CAD,2023-10-10,active
34,34,savings,EUR,2024-05-14,active
35,35,current,EUR,2023-09-06,active
36,36,savings,AUD,2024-09-01,active
37,37,savings,CAD,2024-04-06,active
38,38,savings,EUR,2023-03-20,active
39,39,savings,AUD,2024-12-06,active
40,40,current,AUD,2023-05-17,suspended
41,41,current,EUR,2023-06-25,active
42,42,current,GBP,2024-01-16,active
43,43,current,EUR,2024-10-31,active
44,44,merchant,AUD,2024-12-20,active
45,45,current,GBP,2023-07-07,active
46,46,savings,CAD,2023-05-07,active
47,47,merchant,CAD,2024-10-29,active
48,48,savings,AUD,2023-09-01,active
49,49,current,EUR,2024-09-07,active
50,50,savings,CAD,2024-04-04,active
51,51,savings,EUR,2024-12-13,active
52,52,current,CAD,2024-05-23,active
53,53,savings,AUD,2023-06-15,closed
54,54,savings,GBP,2024-05-17,active
55,55,current,EUR,2024-12-15,active
56,56,savings,EUR,2022-12-16,active
57,57,current,CAD,2024-12-05,suspended
58,58,current,GBP,2024-09-16,active
59,59,savings,EUR,2023-01-05,active
60,60,current,CAD,2024-12-22,active
61,61,current,EUR,2024-12-21,active
