flag_id,transaction_id,flagged_date,flag_reason,is_resolved,resolved_date
1,58054,2024-03-04 03:51:02,Card-Not-Present Anomaly,False,
2,11611,2024-06-06 13:06:23,High Risk Country Match,False,
3,8839,2024-10-12 22:27:15,Card-Not-Present Anomaly,False,
4,19473,2024-12-31 12:11:36,Mismatched Billing Details,False,
5,75036,2023-12-10 02:31:45,High Risk Country Match,False,
6,16795,2024-11-21 08:52:05,Velocity Limit Exceeded,False,
7,3544,2024-11-10 21:09:51,Card-Not-Present Anomaly,False,
8,27890,2024-12-27 09:28:56,Velocity Limit Exceeded,False,
9,17012,2024-07-27 14:16:08,Suspicious Amount Spike,False,
10,77267,2024-11-04 09:50:35,Suspicious Amount Spike,False,
11,17138,2024-03-04 15:50:28,Mismatched Billing Details,False,
12,24195,2024-08-23 05:22:39,Velocity Limit Exceeded,False,
13,71640,2024-11-13 06:15:13,Velocity Limit Exceeded,False,
14,40961,2024-10-17 11:39:34,High Risk Country Match,False,
15,61340,2024-10-08 09:09:42,Velocity Limit Exceeded,False,
16,19098,2024-09-28 02:42:51,Mismatched Billing Details,False,
17,62447,2024-08-09 06:42:55,Suspicious Amount Spike,False,
18,46602,2024-11-01 23:35:31,Suspicious Amount Spike,False,
19,17363,2024-07-07 18:15:54,Mismatched Billing Details,False,
20,16008,2024-12-20 20:57:06,Mismatched Billing Details,False,
21,14660,2024-08-01 02:05:02,Velocity Limit Exceeded,False,
22,65489,2024-08-06 05:40:39,Card-Not-Present Anomaly,False,
23,66081,2024-12-08 05:52:38,High Risk Country Match,False,
24,14648,2024-12-13 17:50:32,Mismatched Billing Details,False,
25,4235,2023-12-31 14:47:57,Velocity Limit Exceeded,False,
26,60947,2024-11-10 21:11:14,Suspicious Amount Spike,False,
27,27299,2024-12-27 02:14:41,Card-Not-Present Anomaly,False,
28,38583,2024-12-09 01:09:23,Mismatched Billing Details,False,
29,45498,2024-10-29 13:06:12,Mismatched Billing Details,False,
30,57639,2024-11-10 13:46:41,Card-Not-Present Anomaly,False,
31,34034,2023-11-14 04:56:34,Card-Not-Present Anomaly,False,
32,44750,2024-11-15 09:11:55,Velocity Limit Exceeded,False,
33,13856,2024-08-02 06:37:35,High Risk Country Match,False,
34,28804,2024-10-30 17:46:19,Card-Not-Present Anomaly,False,
35,30695,2024-09-27 08:09:29,Velocity Limit Exceeded,False,
36,67939,2024-12-24 00:25:18,Card-Not-Present Anomaly,False,
37,64447,2024-08-10 17:20:55,Suspicious Amount Spike,False,
38,79277,2024-11-19 02:19:10,Suspicious Amount Spike,False,
39,36300,2024-01-09 02:41:08,Velocity Limit Exceeded,False,
40,40805,2024-11-10 09:55:12,Velocity Limit Exceeded,False,
41,71778,2024-11-26 06:26:40,Mismatched Billing Details,False,
42,35326,2024-04-19 11:42:28,High Risk Country Match,False,
43,58296,2024-05-13 08:18:10,High Risk Country Match,False,
44,39322,2024-12-30 16:28:33,Suspicious Amount Spike,False,
45,75873,2024-12-24 07:17:03,Mismatched Billing Details,False,
46,73368,2024-10-17 15:49:42,Mismatched Billing Details,False,
47,10322,2023-12-30 13:33:09,Suspicious Amount Spike,False,
48,69681,2024-11-24 18:03:29,High Risk Country Match,False,
49,60850,2023-08-10 19:20:13,Velocity Limit Exceeded,False,
