merchant_id,valid_from,fee_rate_bps,settlement_sla_days,valid_to
1,2023-06-08,150,2,
2,2024-11-12,150,2,
3,2023-08-12,150,2,
4,2024-10-25,150,2,
5,2023-03-14,150,2,
6,2023-12-14,150,2,
7,2022-02-02,150,2,
8,2023-12-16,150,2,
9,2022-11-27,150,2,
10,2023-12-27,150,2,
11,2022-07-12,250,3,
12,2024-11-21,150,2,
13,2024-06-02,150,2,
14,2022-01-21,150,2,
15,2024-09-22,150,2,
16,2024-02-25,150,2,
17,2023-08-06,150,2,
18,2023-06-02,150,2,
19,2022-08-24,150,2,
20,2023-11-22,150,2,
21,2024-01-25,150,2,
22,2022-10-25,150,2,
23,2023-12-18,150,2,
24,2024-05-19,250,3,2024-09-30
24,2024-10-01,210,3,
25,2024-07-08,150,2,
26,2024-04-25,150,2,
27,2022-02-20,150,2,
28,2023-10-25,150,2,
29,2024-05-31,150,2,
30,2022-11-05,150,2,
31,2024-06-19,150,2,
32,2024-05-26,150,2,
33,2022-12-14,150,2,
34,2023-01-21,150,2,2024-09-30
34,2024-10-01,110,2,
35,2024-05-12,150,2,
36,2022-02-27,250,3,
37,2022-05-22,150,2,
38,2022-07-17,150,2,
39,2022-03-16,150,2,
40,2022-12-04,150,2,
41,2023-02-23,150,2,
42,2022-07-31,150,2,
43,2024-05-16,150,2,
44,2022-08-12,150,2,
45,2023-08-07,150,2,
46,2024-02-10,150,2,
47,2022-12-14,150,2,
48,2023-06-20,250,3,
49,2023-09-19,150,2,
50,2024-08-17,250,3,
51,2024-06-03,150,2,
52,2023-12-07,150,2,
53,2023-05-04,150,2,
54,2023-11-15,150,2,
55,2024-04-18,150,2,2024-09-30
55,2024-10-01,110,2,
56,2022-09-08,250,3,
57,2023-01-16,150,2,
58,2022-03-29,250,3,2024-09-30
58,2024-10-01,210,3,
59,2022-01-31,400,5,
60,2022-01-31,150,2,
61,2023-04-10,150,2,
62,2022-08-03,150,2,
63,2024-04-02,150,2,
64,2022-09-09,150,2,
65,2024-09-29,250,3,
66,2023-12-26,400,5,
67,2023-12-15,250,3,
68,2024-06-12,150,2,
69,2023-05-22,150,2,
70,2023-03-01,150,2,
71,2022-08-27,150,2,
72,2024-04-26,150,2,
73,2024-08-03,150,2,
74,2024-04-17,150,2,
75,2022-12-09,250,3,
76,2022-03-29,150,2,2024-09-30
76,2024-10-01,110,2,
77,2022-03-24,150,2,
78,2022-08-12,250,3,
79,2023-04-24,150,2,
80,2024-03-24,150,2,
81,2024-11-04,150,2,
82,2022-03-10,250,3,
83,2022-07-31,150,2,
84,2023-07-03,150,2,
85,2023-05-08,150,2,
86,2023-05-26,150,2,2024-09-30
86,2024-10-01,110,2,
87,2022-06-04,150,2,
88,2023-08-12,150,2,
89,2022-09-02,150,2,
90,2022-09-12,150,2,
91,2024-02-21,250,3,
92,2024-06-30,150,2,
93,2024-09-13,250,3,
94,2023-10-02,150,2,2024-09-30
94,2024-10-01,110,2,
95,2024-05-05,250,3,
96,2022-05-12,150,2,
97,2024-12-29,150,2,
98,2024-04-04,150,2,
99,2024-12-06,250,3,
100,2023-02-03,150,2,
101,2024-01-20,150,2,
102,2024-02-04,250,3,
103,2024-12-20,250,3,
104,2024-11-06,150,2,
105,2023-07-31,150,2,
106,2024-12-15,150,2,
107,2024-08-15,150,2,
108,2024-07-25,150,2,
109,2022-06-10,150,2,
110,2024-11-23,150,2,
111,2022-11-07,150,2,
112,2022-01-15,150,2,
113,2022-01-07,150,2,
114,2022-08-18,150,2,
115,2024-09-30,150,2,
116,2023-02-09,150,2,
117,2022-07-16,150,2,
118,2022-09-27,250,3,
119,2022-07-31,150,2,
120,2023-03-02,150,2,
121,2024-10-28,150,2,
122,2022-06-30,150,2,
123,2024-04-15,150,2,
124,2024-10-28,150,2,
125,2024-07-20,150,2,
126,2024-10-06,150,2,
127,2022-11-24,150,2,
128,2024-11-08,150,2,
129,2023-05-24,150,2,
130,2022-06-02,150,2,
131,2023-03-30,150,2,
132,2023-04-03,250,3,
133,2022-11-14,250,3,
134,2024-11-24,150,2,
135,2023-12-15,150,2,
136,2024-05-13,150,2,
137,2022-12-24,150,2,
138,2024-11-13,150,2,
139,2024-06-03,150,2,
140,2022-04-17,150,2,
141,2022-03-02,150,2,
142,2024-10-03,150,2,
143,2022-06-08,150,2,
144,2023-08-27,150,2,
145,2023-02-17,150,2,
146,2024-07-03,150,2,
147,2023-01-16,150,2,
148,2024-05-21,150,2,
149,2022-09-24,150,2,
150,2022-02-21,150,2,
151,2023-11-11,150,2,
152,2022-04-11,150,2,
153,2022-06-02,150,2,
154,2024-04-30,150,2,
155,2024-09-01,150,2,2024-09-30
155,2024-10-01,110,2,
156,2022-06-25,250,3,
157,2023-03-30,150,2,
158,2024-10-12,250,3,
159,2022-10-10,150,2,
160,2024-10-31,150,2,
161,2024-11-16,250,3,
162,2023-08-21,150,2,
163,2024-02-12,150,2,
164,2023-07-01,150,2,
165,2024-03-09,150,2,
166,2022-09-04,400,5,
167,2023-11-13,150,2,
168,2022-08-11,150,2,
169,2024-04-21,150,2,
170,2023-08-21,150,2,
171,2023-03-15,150,2,
172,2024-06-14,150,2,
173,2024-02-08,150,2,
174,2024-12-09,150,2,
175,2024-08-05,250,3,
176,2024-10-25,150,2,
177,2023-04-27,150,2,2024-09-30
177,2024-10-01,110,2,
178,2022-12-07,150,2,
179,2023-08-19,150,2,
180,2024-04-06,150,2,
181,2023-10-17,150,2,
182,2022-11-01,150,2,
183,2022-01-07,150,2,
184,2023-11-22,400,5,
185,2024-12-07,150,2,
186,2022-04-15,150,2,
