merchant_id,merchant_name,category,country,registration_date,risk_tier
1,"Brown, Valencia and Crawford",Retail,Germany,2023-06-08,low
2,Holmes-Aguirre,Food & Beverage,Australia,2024-11-12,low
3,Diaz Inc,Utilities,Singapore,2023-08-12,low
4,Fernandez-Miller,Retail,United Kingdom,2024-10-25,low
5,White Ltd,Retail,Canada,2023-03-14,low
6,Murphy-Moore,Travel,Singapore,2023-12-14,low
7,Shelton-Keller,Retail,Singapore,2022-02-02,low
8,Waters PLC,Travel,India,2023-12-16,low
9,Giles-Mcdaniel,Food & Beverage,United Kingdom,2022-11-27,low
10,Hudson-Oconnor,Healthcare,India,2023-12-27,low
11,"Curtis, Giles and Jones",Utilities,Singapore,2022-07-12,medium
12,"Taylor, Bradley and Novak",Entertainment,Canada,2024-11-21,low
13,"Friedman, Grant and Ferguson",Utilities,Germany,2024-06-02,low
14,"Adams, Jordan and Lynch",Healthcare,Canada,2022-01-21,low
15,Logan-Parrish,Retail,France,2024-09-22,low
16,Martinez Inc,Retail,Germany,2024-02-25,low
17,Yates-Bean,Food & Beverage,Germany,2023-08-06,low
18,"Blair, Bates and Daniels",Utilities,United Kingdom,2023-06-02,low
19,"George, Holt and Romero",Entertainment,India,2022-08-24,low
20,Wong-Evans,Healthcare,France,2023-11-22,low
21,"Morgan, Moss and Hunt",Utilities,Australia,2024-01-25,low
22,"Jones, Miller and Reed",Retail,United States,2022-10-25,low
23,"Gardner, Ellis and Patrick",Retail,Singapore,2023-12-18,low
24,Dominguez Group,Electronics,Australia,2024-05-19,medium
25,Kelly and Sons,Utilities,Canada,2024-07-08,low
26,Woodard Group,Utilities,Germany,2024-04-25,low
27,Myers-Gonzalez,Retail,Brazil,2022-02-20,low
28,"Lopez, Peck and Hayes",Entertainment,France,2023-10-25,low
29,Deleon-Stuart,Travel,France,2024-05-31,low
30,Ball Ltd,Healthcare,United States,2022-11-05,low
31,Simpson-Patel,Services,United States,2024-06-19,low
32,Weaver-Vincent,Healthcare,United States,2024-05-26,low
33,"Herman, Wagner and Higgins",Entertainment,Australia,2022-12-14,low
34,Hood and Sons,Electronics,United Kingdom,2023-01-21,low
35,Black-Gonzalez,Travel,India,2024-05-12,low
36,"Johnson, Schneider and Flores",Entertainment,Japan,2022-02-27,medium
37,"Smith, Schneider and Fleming",Food & Beverage,France,2022-05-22,low
38,Wood Ltd,Utilities,United States,2022-07-17,low
39,Ware-Alvarado,Healthcare,Brazil,2022-03-16,low
40,Campos-Price,Utilities,Japan,2022-12-04,low
41,"Harvey, Jennings and Carroll",Healthcare,Germany,2023-02-23,low
42,Nunez and Sons,Services,Brazil,2022-07-31,low
43,Yoder-Thompson,Entertainment,Brazil,2024-05-16,low
44,"Cooper, Brooks and King",Food & Beverage,Singapore,2022-08-12,low
45,"Long, Watkins and Gonzalez",Retail,Singapore,2023-08-07,low
46,Serrano-Carr,Services,India,2024-02-10,low
47,Little Ltd,Food & Beverage,Singapore,2022-12-14,low
48,Sutton Ltd,Retail,Japan,2023-06-20,medium
49,"Bradford, Clarke and Greer",Retail,United Kingdom,2023-09-19,low
50,Cline and Sons,Entertainment,Australia,2024-08-17,medium
51,"Horne, Bradshaw and Michael",Entertainment,Japan,2024-06-03,low
52,Sullivan-Green,Entertainment,Japan,2023-12-07,low
53,"Becker, Murphy and Patel",Travel,France,2023-05-04,low
54,Bowen-Randolph,Entertainment,Australia,2023-11-15,low
55,Sloan LLC,Electronics,Canada,2024-04-18,low
56,Jackson-Johnston,Travel,Japan,2022-09-08,medium
57,Shah-Walker,Retail,Australia,2023-01-16,low
58,"Walker, Moreno and Harrington",Electronics,Brazil,2022-03-29,medium
59,Garcia-Dalton,Food & Beverage,Germany,2022-01-31,high
60,"Rodriguez, Page and Wood",Healthcare,Germany,2022-01-31,low
61,Lynn Group,Electronics,United States,2023-04-10,low
62,"Baker, Hughes and Horn",Utilities,United States,2022-08-03,low
63,Smith-Flores,Healthcare,India,2024-04-02,low
64,Mejia-Mitchell,Travel,Brazil,2022-09-09,low
65,Walker-Lee,Food & Beverage,United States,2024-09-29,medium
66,"Hanson, Rich and English",Healthcare,United States,2023-12-26,high
67,"Jones, Collier and Sloan",Utilities,France,2023-12-15,medium
68,"Washington, Williams and Boyd",Utilities,United States,2024-06-12,low
69,"Cook, Young and Leon",Travel,France,2023-05-22,low
70,Roberson and Sons,Services,India,2023-03-01,low
71,Parker-Nguyen,Utilities,Germany,2022-08-27,low
72,Rodriguez-Carey,Food & Beverage,Australia,2024-04-26,low
73,Rodriguez Ltd,Food & Beverage,Brazil,2024-08-03,low
74,Diaz and Sons,Services,Canada,2024-04-17,low
75,Alvarez-Singleton,Healthcare,Germany,2022-12-09,medium
76,"Davis, Lindsey and West",Electronics,India,2022-03-29,low
77,Williams-Moyer,Travel,Brazil,2022-03-24,low
78,Cisneros-Hernandez,Services,Australia,2022-08-12,medium
79,"Lang, Campbell and Carrillo",Utilities,United Kingdom,2023-04-24,low
80,Johnson LLC,Retail,India,2024-03-24,low
81,Bryant PLC,Electronics,Canada,2024-11-04,low
82,"Gould, Martinez and Vargas",Travel,Singapore,2022-03-10,medium
83,Hoffman-Jacobs,Travel,Brazil,2022-07-31,low
84,Todd Inc,Retail,Canada,2023-07-03,low
85,Ward-Young,Electronics,Singapore,2023-05-08,low
86,"Rose, Gates and Bailey",Electronics,India,2023-05-26,low
87,Wu LLC,Travel,Germany,2022-06-04,low
88,"Lamb, Pacheco and Patterson",Utilities,Germany,2023-08-12,low
89,Sosa PLC,Food & Beverage,India,2022-09-02,low
90,"Perry, Webster and Ryan",Entertainment,Singapore,2022-09-12,low
91,Evans-Jackson,Utilities,India,2024-02-21,medium
92,Mccarthy-Dixon,Entertainment,United States,2024-06-30,low
93,"Barry, Ramirez and Chen",Healthcare,Japan,2024-09-13,medium
94,"Chapman, Oconnell and Hogan",Electronics,Australia,2023-10-02,low
95,Cobb-Skinner,Food & Beverage,Australia,2024-05-05,medium
96,Thompson-Anderson,Healthcare,Germany,2022-05-12,low
97,"Lozano, Ponce and Burnett",Services,Japan,2024-12-29,low
98,Duke-Johnson,Entertainment,Singapore,2024-04-04,low
99,Khan Inc,Retail,United States,2024-12-06,medium
100,Solis LLC,Utilities,Germany,2023-02-03,low
101,"Hall, Holland and Hall",Utilities,Japan,2024-01-20,low
102,Anderson Inc,Travel,Singapore,2024-02-04,medium
103,Oneill-Jones,Retail,Japan,2024-12-20,medium
104,Nguyen Group,Utilities,United Kingdom,2024-11-06,low
105,Boyd Ltd,Retail,Canada,2023-07-31,low
106,"Simmons, Rojas and Fleming",Services,Canada,2024-12-15,low
107,Turner-Rosales,Services,United Kingdom,2024-08-15,low
108,"Jensen, Cruz and Harvey",Services,United States,2024-07-25,low
109,"Henry, Porter and Jefferson",Services,Germany,2022-06-10,low
110,Henderson Ltd,Electronics,United Kingdom,2024-11-23,low
111,Ball-Carter,Healthcare,Canada,2022-11-07,low
112,Hernandez-Smith,Electronics,Japan,2022-01-15,low
113,Singleton-Mercer,Retail,Germany,2022-01-07,low
114,"Jackson, Wood and Clark",Electronics,France,2022-08-18,low
115,Fox and Sons,Services,France,2024-09-30,low
116,"Daniels, Velasquez and Mclaughlin",Entertainment,India,2023-02-09,low
117,Huff and Sons,Services,Japan,2022-07-16,low
118,Obrien Ltd,Electronics,India,2022-09-27,medium
119,Sims PLC,Entertainment,India,2022-07-31,low
120,Brown Ltd,Food & Beverage,Australia,2023-03-02,low
121,Mcclure PLC,Entertainment,Australia,2024-10-28,low
122,Perry Group,Retail,Canada,2022-06-30,low
123,Harris PLC,Healthcare,United Kingdom,2024-04-15,low
124,Cooper-Patel,Electronics,Germany,2024-10-28,low
125,Powell-Mccarthy,Healthcare,Japan,2024-07-20,low
126,"Bryant, Buchanan and Yoder",Entertainment,Japan,2024-10-06,low
127,Marshall-Green,Retail,India,2022-11-24,low
128,Hart-Baker,Utilities,Japan,2024-11-08,low
129,Gray PLC,Food & Beverage,United States,2023-05-24,low
130,Nguyen PLC,Services,India,2022-06-02,low
131,Dixon Ltd,Electronics,India,2023-03-30,low
132,"Chavez, Yoder and Spencer",Food & Beverage,Brazil,2023-04-03,medium
133,"Garcia, Brown and Melton",Retail,Japan,2022-11-14,medium
134,"Gonzales, Martinez and Harrison",Entertainment,India,2024-11-24,low
135,Bryant and Sons,Services,Brazil,2023-12-15,low
136,Ramos Ltd,Food & Beverage,Germany,2024-05-13,low
137,"Robinson, Cunningham and Aguilar",Entertainment,Germany,2022-12-24,low
