settlement_id,transaction_id,settlement_date,currency,settled_amount,processing_fee,status
1,1,2024-10-20 22:33:34,EUR,37.60,0.96,settled
2,2,2024-11-13 09:00:00,EUR,1310.09,19.95,settled
3,3,2024-09-26 18:18:47,AUD,3534.07,53.82,settled
4,6,2024-12-31 00:47:54,EUR,1489.39,22.68,settled
5,10,2024-05-12 01:11:14,CAD,2171.95,33.08,settled
6,11,2024-10-18 09:16:14,CAD,3298.23,50.23,settled
7,12,2024-10-13 09:00:00,GBP,2522.53,38.41,delayed
8,13,2024-11-11 23:29:38,GBP,3712.47,56.54,settled
9,14,2024-06-04 20:16:11,GBP,65.14,0.99,settled
10,16,2024-12-18 23:42:05,CAD,549.08,8.37,settled
11,17,2024-10-13 10:07:13,GBP,2014.40,30.68,delayed
12,18,2024-12-31 13:55:20,EUR,2195.76,33.44,settled
13,19,2024-04-06 04:47:23,AUD,165.43,2.52,settled
14,20,2024-12-24 10:16:44,AUD,3092.79,47.10,settled
15,21,2024-10-14 11:14:26,GBP,2684.29,68.83,delayed
16,22,2024-09-12 08:24:24,CAD,2550.69,65.41,settled
17,23,2024-06-04 16:25:02,EUR,1992.14,30.34,settled
18,26,2024-11-11 09:45:33,EUR,2092.61,31.87,settled
19,27,2024-07-15 16:45:48,GBP,4491.83,68.40,settled
20,28,2024-06-03 02:11:38,EUR,4834.96,123.97,settled
21,29,2024-07-06 02:32:13,EUR,2758.77,42.01,settled
22,31,2024-11-28 16:54:08,EUR,2929.95,44.62,settled
23,32,2024-11-12 22:51:03,EUR,2203.19,33.55,settled
24,33,2024-08-17 15:50:58,CAD,4187.85,63.77,settled
25,35,2024-01-03 05:16:30,CAD,3765.30,57.34,settled
26,36,2024-12-20 07:09:39,AUD,3491.05,53.16,settled
27,37,2024-12-26 22:10:44,GBP,2052.21,31.25,settled
28,38,2024-10-24 16:10:44,AUD,3667.31,55.85,settled
29,40,2024-04-19 02:38:24,AUD,297.39,4.53,settled
30,41,2024-08-03 10:26:43,GBP,4456.85,67.87,settled
31,42,2024-12-25 04:28:33,CAD,2334.32,35.55,settled
32,43,2025-01-02 03:18:22,CAD,564.68,8.60,settled
33,44,2024-10-04 20:49:27,EUR,4748.28,72.31,settled
34,45,2024-09-18 09:00:00,EUR,2181.04,90.88,settled
35,46,2025-01-01 08:00:14,CAD,3122.29,47.55,settled
36,47,2024-10-30 19:28:23,CAD,1155.45,29.63,settled
37,49,2024-12-29 08:31:55,AUD,4315.99,65.73,settled
38,50,2024-12-27 22:54:00,EUR,3588.40,54.65,settled
39,51,2024-11-18 05:53:28,GBP,2519.33,38.37,settled
40,53,2025-01-01 20:41:49,GBP,648.27,9.87,settled
41,54,2024-10-17 22:15:35,AUD,4255.27,109.11,settled
42,56,2024-12-28 22:27:32,EUR,3529.83,90.51,settled
43,57,2024-11-05 20:39:02,EUR,1973.39,30.05,settled
44,58,2024-11-11 15:10:19,EUR,498.13,20.76,settled
45,60,2025-01-01 12:10:04,GBP,1862.68,28.37,settled
46,63,2024-12-29 19:46:34,EUR,3167.37,48.23,settled
47,64,2024-10-28 18:40:40,CAD,897.58,9.98,settled
48,65,2024-10-17 17:27:28,AUD,2245.57,34.20,settled
49,66,2024-12-26 20:17:33,EUR,2267.28,34.53,settled
50,67,2024-12-16 11:44:11,EUR,4908.20,74.74,settled
51,68,2024-07-20 19:12:18,AUD,3828.50,58.30,settled
52,69,2024-11-04 04:18:30,CAD,32.79,0.50,settled
53,71,2024-12-12 00:27:29,CAD,2325.88,35.42,settled
54,72,2024-12-08 06:52:55,EUR,3907.46,59.50,settled
55,73,2024-12-01 07:35:12,EUR,795.49,12.11,settled
56,76,2023-09-25 09:37:37,AUD,4181.85,63.68,settled
57,77,2024-12-18 01:14:06,AUD,10.16,0.15,settled
58,78,2024-03-10 11:35:12,EUR,4427.54,67.42,settled
59,79,2024-10-16 09:23:24,AUD,233.20,3.55,settled
60,81,2024-05-11 20:54:53,CAD,1536.80,23.40,settled
61,82,2024-11-20 03:01:42,GBP,3701.83,56.37,settled
62,83,2024-12-26 06:36:08,CAD,4001.02,102.59,settled
63,84,2024-09-02 18:18:09,EUR,3725.25,56.73,settled
64,85,2024-11-22 14:16:13,EUR,1681.05,25.60,settled
65,86,2024-01-27 17:57:10,GBP,3634.23,55.34,settled
66,87,2024-12-26 03:08:59,CAD,744.63,11.34,settled
67,90,2024-02-16 15:27:05,EUR,300.91,4.58,settled
68,92,2024-10-05 08:55:26,EUR,3918.98,100.49,settled
69,93,2025-01-02 08:13:58,EUR,4509.99,68.68,settled
70,94,2024-12-10 03:47:56,EUR,1311.09,19.97,settled
71,95,2024-11-20 20:41:39,EUR,3736.23,56.90,settled
72,96,2024-12-27 12:53:56,EUR,230.99,5.92,settled
73,97,2024-11-14 10:07:13,EUR,4699.79,71.57,settled
74,98,2024-10-06 18:19:34,GBP,124.38,1.89,settled
75,99,2024-11-02 13:52:33,GBP,405.40,6.17,settled
76,100,2024-09-11 19:19:23,EUR,3111.32,47.38,settled
77,101,2024-12-18 01:07:23,EUR,968.29,14.75,settled
78,102,2024-04-01 11:14:11,CAD,4753.80,72.39,settled
79,103,2024-10-23 17:56:44,CAD,1628.19,24.79,settled
80,104,2024-05-25 12:36:46,GBP,1379.42,35.37,settled
81,106,2024-11-18 11:12:36,GBP,1155.40,17.59,settled
82,107,2024-10-06 22:25:52,EUR,2170.55,33.05,settled
83,109,2024-11-09 22:02:16,EUR,2985.47,45.46,settled
84,111,2024-11-30 15:32:50,AUD,4033.23,61.42,settled
85,112,2025-01-01 00:13:28,CAD,407.46,6.20,settled
86,113,2024-12-31 13:36:41,EUR,1747.90,26.62,settled
87,114,2024-06-18 16:29:35,EUR,1263.23,19.24,settled
88,116,2024-12-30 03:15:45,EUR,26.70,0.41,settled
89,117,2024-06-26 08:32:52,CAD,3204.04,82.15,settled
90,118,2024-12-31 06:42:16,GBP,42.32,0.64,settled
91,119,2024-08-28 10:10:20,AUD,3446.41,52.48,settled
92,121,2024-09-30 01:04:58,EUR,60.35,0.92,settled
93,122,2024-12-11 18:16:06,GBP,540.61,8.23,settled
94,123,2024-07-27 07:10:16,CAD,2950.04,44.92,settled
95,124,2024-07-02 02:08:07,CAD,4906.46,74.72,settled
96,125,2024-07-04 22:54:40,EUR,317.50,4.84,settled
97,126,2024-12-15 00:07:26,EUR,1661.66,25.30,settled
98,127,2024-10-18 07:11:14,CAD,3934.37,59.91,settled
99,128,2024-12-07 09:06:18,CAD,1936.52,29.49,settled
100,129,2023-09-24 10:12:32,GBP,3319.42,50.55,settled
101,130,2024-12-30 20:00:21,AUD,37.46,0.57,settled
102,131,2024-11-14 11:14:26,EUR,1140.57,17.37,settled
103,132,2025-01-01 05:05:01,GBP,912.05,13.89,settled
104,136,2024-10-14 12:21:39,GBP,690.89,17.72,delayed
105,137,2024-11-15 12:21:39,EUR,4344.32,111.39,settled
106,138,2024-10-13 13:28:52,GBP,3191.06,48.59,delayed
107,141,2024-04-06 00:00:07,AUD,552.33,14.16,settled
108,142,2024-08-14 09:11:05,AUD,3082.88,128.45,settled
109,144,2024-12-12 00:42:08,GBP,1506.63,22.94,settled
110,145,2024-10-23 15:39:37,CAD,4612.50,70.24,settled
111,146,2024-03-28 21:37:27,CAD,384.35,5.85,settled
112,147,2024-12-26 14:44:27,CAD,3066.50,46.70,settled
113,148,2024-11-26 00:02:28,GBP,558.30,8.50,settled
114,151,2024-02-21 04:08:44,AUD,3570.78,54.38,settled
115,152,2024-09-21 06:48:35,CAD,1144.83,17.43,settled
116,153,2024-09-18 10:07:13,EUR,2299.91,58.97,settled
117,154,2024-07-31 15:02:31,AUD,4905.37,74.70,settled
118,158,2024-09-20 11:14:26,EUR,2251.25,57.72,settled
119,159,2024-11-14 13:28:52,EUR,2263.68,34.47,settled
120,160,2024-03-24 08:40:19,GBP,769.87,11.72,settled
121,161,2024-12-26 19:16:10,EUR,2120.03,88.33,settled
122,162,2023-08-30 13:03:18,CAD,1957.00,29.80,settled
123,163,2024-09-19 12:21:39,EUR,2591.42,39.46,settled
124,164,2024-11-03 20:14:18,EUR,89.04,0.99,settled
125,165,2024-09-19 13:28:52,EUR,3406.49,51.88,settled
126,166,2024-11-17 10:26:31,AUD,99.97,1.52,settled
127,168,2024-09-03 20:51:01,EUR,3859.86,58.78,settled
128,169,2024-04-20 09:40:40,CAD,132.96,2.02,settled
129,171,2024-06-06 03:40:11,AUD,1760.72,26.81,settled
130,172,2024-11-13 14:35:05,EUR,4506.98,68.63,settled
131,174,2024-12-28 04:48:56,AUD,2134.66,54.73,settled
132,175,2024-04-05 00:11:08,GBP,18.17,0.47,settled
133,177,2024-12-28 23:17:32,EUR,3068.20,46.72,settled
134,180,2024-11-27 13:46:22,CAD,1912.82,29.13,settled
135,181,2024-12-28 10:58:34,GBP,3297.33,50.21,settled
136,182,2024-11-17 18:58:16,EUR,135.18,2.06,settled
137,183,2023-12-02 01:34:36,CAD,3677.94,56.01,settled
138,184,2024-12-10 10:07:38,AUD,114.27,1.74,settled
139,186,2024-10-27 09:13:05,EUR,3891.09,59.26,settled
140,188,2024-12-20 18:12:46,AUD,810.46,12.34,settled
141,190,2024-11-01 06:57:32,AUD,283.39,4.32,settled
142,191,2023-11-06 20:22:11,GBP,741.53,11.29,settled
143,192,2024-10-23 05:09:13,GBP,219.70,2.44,settled
144,193,2024-10-16 17:43:39,AUD,1966.27,29.94,settled
145,194,2024-11-01 03:59:59,EUR,517.17,7.88,settled
146,195,2024-08-11 20:19:08,CAD,968.00,14.74,settled
147,197,2024-10-19 23:48:02,EUR,1872.39,28.51,settled
148,198,2024-07-04 21:48:41,CAD,1298.64,19.78,settled
149,200,2024-11-17 07:28:52,GBP,921.00,14.03,settled
150,201,2024-02-23 10:51:25,CAD,3743.39,57.01,settled
151,203,2024-09-03 02:52:31,CAD,2505.73,38.16,settled
152,204,2024-11-19 21:29:11,CAD,371.34,15.47,settled
153,205,2024-12-03 04:08:56,EUR,273.44,4.16,settled
154,206,2024-05-09 02:31:25,AUD,1825.65,46.81,settled
155,208,2024-09-13 13:00:31,AUD,1145.88,29.38,settled
156,209,2024-08-21 06:46:52,EUR,153.48,2.34,settled
157,210,2024-09-05 16:25:24,GBP,3174.26,48.34,settled
158,211,2024-09-26 18:23:26,CAD,125.29,1.91,settled
159,212,2024-10-06 11:00:39,CAD,3245.98,49.43,settled
160,213,2024-12-27 00:39:09,GBP,4406.91,67.11,settled
161,214,2024-06-21 04:43:07,AUD,1422.47,21.66,settled
162,215,2024-11-29 18:11:40,CAD,4872.61,74.20,settled
163,216,2024-11-13 15:42:18,EUR,3614.71,92.68,settled
164,218,2024-01-21 19:53:22,EUR,2982.51,76.47,settled
165,219,2024-12-26 19:34:35,GBP,3565.14,54.29,settled
166,220,2024-10-14 07:25:46,AUD,4901.74,74.65,settled
167,221,2024-12-30 04:11:30,AUD,671.07,10.22,settled
168,222,2024-12-11 05:11:57,GBP,4908.60,74.75,settled
169,224,2024-10-29 08:23:06,GBP,1924.42,49.34,settled
170,225,2024-08-22 00:34:25,AUD,4103.89,62.50,settled
171,226,2024-12-03 23:21:52,AUD,2287.15,34.83,settled
172,227,2024-12-29 12:25:47,AUD,324.48,4.94,settled
173,228,2024-12-23 04:12:47,AUD,2824.17,43.01,settled
174,230,2025-01-01 10:57:50,GBP,2199.52,91.65,settled
175,232,2024-12-02 13:37:28,AUD,905.94,13.80,settled
176,233,2024-10-16 18:45:36,EUR,3380.25,51.48,settled
177,234,2024-11-02 21:00:47,CAD,1241.55,18.91,settled
178,235,2024-12-07 13:09:27,AUD,2305.02,35.10,settled
179,236,2025-01-01 08:09:11,EUR,3347.98,50.98,settled
180,237,2024-12-07 22:50:37,AUD,287.74,4.38,settled
181,239,2023-11-15 23:35:20,CAD,1014.29,15.45,settled
182,241,2024-11-24 23:12:43,EUR,323.21,4.92,settled
183,242,2024-08-20 12:14:59,EUR,106.11,1.62,settled
184,244,2024-11-06 09:06:31,EUR,170.98,2.60,settled
185,245,2024-06-03 01:25:59,CAD,4662.01,71.00,settled
186,247,2024-05-23 03:43:35,AUD,4827.03,73.51,settled
187,248,2024-07-10 16:05:27,GBP,4636.60,70.61,settled
188,249,2024-10-19 06:13:58,EUR,2548.16,38.80,settled
189,250,2024-08-18 14:44:18,EUR,130.19,1.98,settled
190,251,2024-07-29 08:15:14,EUR,2384.69,36.32,settled
191,252,2024-12-24 12:30:05,CAD,1279.56,19.49,settled
192,253,2024-07-28 07:51:04,GBP,3888.18,59.21,settled
193,254,2024-12-07 00:42:43,CAD,2221.97,33.84,settled
194,255,2024-12-25 04:54:03,EUR,2118.47,32.26,settled
195,257,2024-04-26 15:16:00,AUD,4376.71,66.65,settled
196,258,2024-11-01 20:23:22,GBP,2231.81,33.99,settled
197,259,2023-10-11 12:53:06,GBP,3477.36,52.95,settled
198,260,2024-09-10 07:38:55,EUR,2288.99,95.37,settled
199,261,2024-12-04 18:40:03,EUR,1271.38,19.36,settled
200,262,2024-10-11 19:22:25,EUR,3510.22,146.26,settled
201,263,2024-11-15 05:32:48,GBP,571.61,8.70,settled
202,264,2024-12-30 13:31:32,CAD,998.95,15.21,settled
203,267,2024-05-14 10:45:41,EUR,1105.34,28.34,settled
204,268,2025-01-01 12:11:32,AUD,2273.21,34.62,settled
205,269,2024-11-28 06:40:21,GBP,1710.10,26.04,settled
206,270,2024-12-24 11:51:03,EUR,2568.23,39.11,settled
207,271,2024-09-30 19:16:34,AUD,2988.58,45.51,settled
208,272,2024-08-20 16:21:20,EUR,598.76,9.12,settled
209,273,2024-12-19 19:19:58,AUD,4436.24,49.34,settled
210,274,2024-11-13 16:49:31,EUR,2855.90,43.49,settled
211,276,2024-12-08 05:47:42,AUD,3402.14,51.81,settled
212,277,2024-07-09 11:16:58,CAD,4599.62,70.05,settled
213,279,2024-03-15 21:41:00,CAD,3467.46,52.80,settled
214,280,2024-12-31 00:31:10,AUD,86.42,1.32,settled
215,281,2024-06-18 23:02:17,EUR,308.96,4.70,settled
216,282,2024-12-04 22:13:39,AUD,140.73,2.14,settled
217,284,2024-11-30 19:36:03,GBP,1586.53,24.16,settled
218,285,2024-12-21 22:39:01,GBP,1699.44,25.88,settled
219,286,2024-08-12 12:59:34,EUR,4061.79,61.85,settled
220,289,2024-10-09 09:05:13,EUR,3874.11,99.34,settled
221,290,2024-12-10 18:02:12,CAD,2787.83,42.45,settled
222,291,2024-12-11 15:43:30,CAD,4830.39,73.56,settled
223,293,2025-01-02 17:10:05,EUR,3904.29,100.11,settled
224,295,2024-12-15 21:33:07,AUD,3967.69,60.42,settled
225,296,2024-09-20 07:58:34,GBP,4911.34,74.79,settled
226,297,2024-12-08 21:08:51,CAD,135.60,2.07,settled
227,298,2025-01-01 11:27:19,EUR,4336.97,180.71,settled
228,299,2024-08-29 11:18:58,GBP,911.03,13.87,settled
229,300,2024-12-21 22:25:10,CAD,3268.38,49.77,settled
230,301,2024-01-16 19:09:03,AUD,3089.52,79.22,settled
231,302,2024-11-26 00:38:02,AUD,3225.71,49.12,settled
232,304,2024-10-18 20:50:56,AUD,116.20,1.77,settled
233,305,2024-11-22 06:58:33,CAD,4778.23,72.76,settled
234,307,2024-03-14 19:36:45,GBP,1784.43,27.17,settled
235,308,2024-12-02 05:01:04,AUD,4836.35,73.65,settled
236,309,2024-12-06 09:31:38,AUD,696.28,10.60,settled
237,310,2024-09-18 03:51:46,EUR,253.51,3.86,settled
238,311,2025-01-02 04:10:06,GBP,2247.63,34.23,settled
239,312,2024-09-24 11:49:16,EUR,2940.62,44.78,settled
240,313,2024-11-14 09:56:44,EUR,1351.68,20.58,settled
241,315,2024-10-22 05:38:21,CAD,99.87,1.52,settled
