transaction_id,account_id,merchant_id,amount,currency,transaction_date,transaction_type,status
1,2847,363,38.56,EUR,2024-10-18 22:33:34,refund,completed
2,692,320,1330.04,EUR,2024-08-22 00:31:56,purchase,completed
3,2300,409,3587.89,CAD,2024-09-24 18:18:47,purchase,completed
4,5300,,3449.4,EUR,2024-04-03 04:44:10,transfer,completed
5,1084,664,3958.25,AUD,2024-11-24 03:01:21,purchase,failed
6,1388,666,1512.07,GBP,2024-12-30 00:47:54,purchase,completed
7,2914,,3536.75,AUD,2024-11-12 10:37:09,transfer,completed
8,3139,,4367.85,GBP,2024-04-02 16:51:25,transfer,completed
9,1780,,1762.03,EUR,2024-03-08 21:37:28,transfer,completed
10,520,570,2205.03,AUD,2024-05-11 01:11:14,purchase,completed
11,5235,230,3348.46,AUD,2024-10-16 09:16:14,purchase,completed
12,1900,64,2560.94,GBP,2024-10-26 20:41:02,purchase,completed
13,1825,402,3769.01,EUR,2024-11-09 23:29:38,purchase,completed
14,5860,17,66.13,EUR,2024-06-03 20:16:11,purchase,completed
15,4864,,1710.12,GBP,2024-11-16 20:31:34,transfer,completed
16,2420,164,557.7,CAD,2024-12-17 23:42:05,purchase,completed
17,4030,624,2045.08,GBP,2024-09-30 23:00:52,purchase,completed
18,3098,637,2229.45,EUR,2024-12-30 13:55:20,purchase,completed
19,5781,370,167.95,AUD,2024-04-04 04:47:23,refund,completed
20,1791,43,3140.14,AUD,2024-12-23 10:16:44,purchase,completed
21,2414,589,2753.12,GBP,2024-12-21 10:01:44,purchase,completed
22,1627,24,2616.35,CAD,2024-09-10 08:24:24,purchase,pending
23,2411,729,2022.73,EUR,2024-06-02 16:25:02,purchase,completed
24,1845,,4329.07,CAD,2024-06-25 21:35:45,transfer,completed
25,1650,,3989.74,EUR,2022-11-30 15:01:29,transfer,completed
26,348,529,2124.73,EUR,2024-11-10 09:45:33,purchase,completed
27,2941,232,4560.23,GBP,2024-07-13 16:45:48,purchase,completed
28,2271,618,4958.93,EUR,2024-06-01 02:11:38,purchase,completed
29,2844,509,2800.78,EUR,2024-07-04 02:32:13,purchase,completed
30,5330,,119.15,GBP,2024-12-14 22:19:09,transfer,completed
31,2528,205,2974.57,EUR,2024-11-26 16:54:08,purchase,completed
32,488,439,2236.74,EUR,2024-11-11 22:51:03,purchase,completed
33,2737,768,4251.62,CAD,2024-08-15 15:50:58,purchase,completed
34,3144,,1045.68,EUR,2024-12-13 20:14:25,transfer,pending
35,557,365,3822.64,CAD,2024-01-01 05:16:30,purchase,completed
36,3560,426,3544.21,AUD,2024-12-19 07:09:39,purchase,completed
37,4165,248,2083.46,GBP,2024-12-24 22:10:44,purchase,completed
38,616,371,3723.16,AUD,2024-10-23 16:10:44,purchase,completed
39,493,,1955.68,GBP,2024-12-24 12:04:16,transfer,completed
40,5487,744,301.92,AUD,2024-04-18 02:38:24,purchase,completed
41,4819,208,4524.72,GBP,2024-08-01 10:26:43,purchase,completed
42,4920,571,2369.87,CAD,2024-12-24 04:28:33,purchase,completed
43,2691,483,573.28,CAD,2024-12-31 03:18:22,purchase,completed
44,2233,429,4820.59,EUR,2024-10-03 20:49:27,purchase,completed
45,1825,184,2271.92,EUR,2024-12-13 21:24:30,purchase,completed
46,2794,599,3169.84,CAD,2024-12-31 08:00:14,purchase,completed
47,4690,338,1185.08,CAD,2024-10-27 19:28:23,purchase,completed
48,5148,,1310.76,GBP,2024-11-20 05:43:03,transfer,completed
49,2106,517,4381.72,AUD,2024-12-27 08:31:55,purchase,completed
50,5000,576,3643.05,EUR,2024-12-26 22:54:00,purchase,completed
51,5663,246,2557.7,GBP,2024-11-16 05:53:28,purchase,completed
52,5921,,1766.57,CAD,2023-11-07 16:28:04,transfer,completed
53,1912,26,658.14,GBP,2024-12-30 20:41:49,purchase,completed
54,5646,277,4364.38,AUD,2024-10-16 22:15:35,purchase,completed
55,2297,,1298.41,EUR,2022-05-21 04:39:57,transfer,completed
56,61,720,3620.34,EUR,2024-12-25 22:27:32,purchase,completed
57,5827,463,2003.44,EUR,2024-11-03 20:39:02,purchase,completed
58,2089,477,518.89,EUR,2024-11-07 15:10:19,purchase,completed
59,4505,,426.3,EUR,2024-12-25 06:30:50,transfer,completed
60,1005,217,1891.05,GBP,2024-12-31 12:10:04,purchase,completed
61,703,65,4906.81,EUR,2024-11-05 00:44:40,purchase,failed
62,4663,,3591.91,GBP,2023-12-01 12:27:26,transfer,completed
63,2546,592,3215.6,EUR,2024-12-27 19:46:34,purchase,completed
64,3222,320,907.56,CAD,2024-10-27 18:40:40,purchase,completed
65,3317,704,2279.77,AUD,2024-10-15 17:27:28,purchase,completed
66,3631,368,2301.81,EUR,2024-12-25 20:17:33,purchase,completed
67,3737,324,4982.94,EUR,2024-12-14 11:44:11,purchase,completed
68,452,229,3886.8,AUD,2024-07-19 19:12:18,purchase,completed
69,2795,775,33.29,CAD,2024-11-02 04:18:30,refund,completed
70,2578,,2787.3,EUR,2024-02-20 05:54:11,transfer,completed
71,2730,2,2361.3,CAD,2024-12-10 00:27:29,purchase,completed
72,5468,100,3966.96,EUR,2024-12-07 06:52:55,purchase,completed
73,2440,304,807.6,EUR,2024-11-29 07:35:12,purchase,completed
74,67,756,3737.0,EUR,2024-11-25 11:15:15,purchase,failed
75,726,,3490.84,EUR,2024-12-03 03:10:21,transfer,completed
76,4881,367,4245.53,AUD,2023-09-24 09:37:37,purchase,completed
77,3679,492,10.31,AUD,2024-12-16 01:14:06,purchase,completed
78,5390,69,4494.96,EUR,2024-03-09 11:35:12,purchase,completed
79,1773,198,236.75,AUD,2024-10-14 09:23:24,refund,completed
80,5047,,1153.02,AUD,2024-10-03 16:43:51,transfer,completed
81,1928,686,1560.2,CAD,2024-05-09 20:54:53,purchase,completed
82,4748,199,3758.2,GBP,2024-11-19 03:01:42,purchase,completed
83,3674,387,4103.61,CAD,2024-12-23 06:36:08,purchase,completed
84,2251,144,3781.98,EUR,2024-09-01 18:18:09,purchase,completed
85,1433,646,1706.65,EUR,2024-11-20 14:16:13,purchase,completed
86,5438,593,3689.57,GBP,2024-01-26 17:57:10,purchase,completed
87,1101,524,755.97,CAD,2024-12-24 03:08:59,purchase,completed
88,4140,,4401.7,GBP,2023-09-23 18:48:52,transfer,failed
89,859,,3388.15,GBP,2024-03-08 00:49:42,transfer,completed
90,2863,771,305.49,EUR,2024-02-15 15:27:05,purchase,completed
91,3181,32,31.65,CAD,2024-12-10 01:15:02,purchase,failed
92,5589,82,4019.47,EUR,2024-10-02 08:55:26,purchase,completed
93,971,1,4578.67,EUR,2024-12-31 08:13:58,purchase,completed
94,1606,353,1331.06,EUR,2024-12-09 03:47:56,purchase,completed
95,5173,84,3793.13,EUR,2024-11-18 20:41:39,purchase,completed
96,883,674,236.91,EUR,2024-12-26 12:53:56,purchase,completed
97,1925,325,4771.36,EUR,2024-10-23 09:04:31,purchase,completed
98,149,408,126.27,GBP,2024-10-05 18:19:34,purchase,completed
99,224,775,411.57,GBP,2024-10-31 13:52:33,purchase,completed
100,5421,299,3158.7,EUR,2024-09-10 19:19:23,purchase,pending
101,5368,4,983.04,EUR,2024-12-16 01:07:23,purchase,completed
102,5167,353,4826.19,CAD,2024-03-31 11:14:11,purchase,completed
103,2526,422,1652.98,CAD,2024-10-21 17:56:44,purchase,completed
104,797,735,1414.79,GBP,2024-05-22 12:36:46,purchase,completed
105,5232,297,499.61,AUD,2024-12-19 14:48:50,purchase,failed
106,4635,2,1172.99,GBP,2024-11-17 11:12:36,purchase,completed
107,4745,510,2203.6,EUR,2024-10-04 22:25:52,purchase,completed
108,5556,,1662.01,EUR,2024-03-28 04:04:32,transfer,completed
109,3103,194,3030.93,EUR,2024-11-07 22:02:16,purchase,completed
110,115,147,1633.48,EUR,2023-02-10 16:43:42,purchase,failed
111,4423,733,4094.65,AUD,2024-11-28 15:32:50,purchase,completed
112,1571,770,413.66,CAD,2024-12-31 00:13:28,purchase,completed
113,4521,532,1774.52,EUR,2024-12-29 13:36:41,purchase,completed
114,3744,194,1282.47,EUR,2024-06-17 16:29:35,purchase,completed
115,4854,,72.27,CAD,2024-12-13 22:41:07,transfer,completed
116,589,396,27.11,EUR,2024-12-29 03:15:45,refund,completed
117,20,746,3286.19,CAD,2024-06-25 08:32:52,purchase,completed
118,1108,107,42.96,GBP,2024-12-30 06:42:16,purchase,completed
119,2330,255,3498.89,AUD,2024-08-26 10:10:20,purchase,completed
120,2648,160,3898.09,EUR,2024-12-12 22:48:44,purchase,failed
121,4441,627,61.27,EUR,2024-09-28 01:04:58,refund,completed
122,2731,442,548.84,GBP,2024-12-10 18:16:06,purchase,completed
123,2523,39,2994.96,CAD,2024-07-25 07:10:16,purchase,completed
124,1111,423,4981.18,CAD,2024-07-01 02:08:07,purchase,completed
125,4230,79,322.34,EUR,2024-07-02 22:54:40,purchase,completed
126,1797,391,1686.96,EUR,2024-12-14 00:07:26,purchase,completed
127,3197,663,3994.28,CAD,2024-10-16 07:11:14,purchase,pending
128,3181,289,1966.01,CAD,2024-12-06 09:06:18,purchase,completed
129,4140,659,3369.97,GBP,2023-09-22 10:12:32,purchase,completed
130,4681,377,38.03,AUD,2024-12-29 20:00:21,purchase,completed
131,5976,557,1157.94,EUR,2024-08-07 05:33:41,purchase,completed
132,3651,503,925.94,GBP,2024-12-31 05:05:01,purchase,completed
133,1002,,4566.3,AUD,2024-10-29 11:37:05,transfer,completed
134,4691,,1866.26,CAD,2024-12-29 23:53:47,transfer,completed
135,4521,,1840.89,EUR,2024-11-27 18:22:45,transfer,completed
136,2098,496,708.61,GBP,2024-02-13 04:35:19,purchase,completed
